review_id,product_id,customer_id,rating,review_date,review_text
1,103,1004,1,2024-04-17,I love it! Highly recommend.
2,101,1005,4,2024-05-12,"Terrible, do not buy this product."
3,102,1002,1,2024-07-06,"Not worth the price, poor quality."
4,105,1002,5,2024-10-03,"Okay, but not as good as expected."
5,104,1001,4,2024-07-18,"Not worth the price, poor quality."
6,102,1003,4,2024-11-28,"Good product, but could be improved."
7,104,1004,2,2024-06-04,"Okay, but not as good as expected."
8,103,1002,2,2024-06-13,I love it! Highly recommend.
9,105,1005,4,2024-01-29,I love it! Highly recommend.
10,104,1001,3,2024-05-28,"Terrible, do not buy this product."
11,101,1002,4,2024-07-17,"Okay, but not as good as expected."
12,105,1001,5,2024-04-06,I love it! Highly recommend.
13,105,1001,4,2024-12-21,"Okay, but not as good as expected."
14,103,1004,4,2024-01-13,"Not worth the price, poor quality."
15,103,1002,1,2024-07-27,"Excellent quality, exceeded my expectations!"
16,102,1003,1,2024-05-18,"Good product, but could be improved."
17,104,1002,5,2024-07-08,"Good product, but could be improved."
18,101,1002,5,2024-01-17,I love it! Highly recommend.
19,102,1005,5,2024-06-13,"Not worth the price, poor quality."
20,101,1004,5,2024-05-11,"Not worth the price, poor quality."
21,105,1002,1,2024-07-24,"Good product, but could be improved."
22,102,1002,3,2024-01-06,"Okay, but not as good as expected."
23,102,1001,5,2024-01-14,"Terrible, do not buy this product."
24,104,1001,4,2024-08-14,"Okay, but not as good as expected."
25,102,1004,3,2024-04-28,"Excellent quality, exceeded my expectations!"
26,104,1002,5,2024-06-19,"Excellent quality, exceeded my expectations!"
27,102,1004,1,2024-05-19,"Terrible, do not buy this product."
28,105,1004,3,2024-11-04,"Not worth the price, poor quality."
29,104,1004,4,2024-08-19,I love it! Highly recommend.
30,105,1001,4,2024-10-28,"Not worth the price, poor quality."
31,102,1002,5,2024-01-16,"Good product, but could be improved."
32,101,1005,3,2024-01-09,"Excellent quality, exceeded my expectations!"
33,102,1005,4,2024-07-10,I love it! Highly recommend.
34,102,1002,4,2024-01-15,"Okay, but not as good as expected."
35,104,1005,4,2024-04-30,"Excellent quality, exceeded my expectations!"
36,102,1001,2,2024-05-13,"Okay, but not as good as expected."
37,104,1001,5,2024-08-15,"Good product, but could be improved."
38,105,1003,5,2024-02-29,"Terrible, do not buy this product."
39,105,1005,5,2024-11-28,"Not worth the price, poor quality."
40,104,1002,2,2024-10-13,"Excellent quality, exceeded my expectations!"
41,101,1001,2,2024-05-07,"Okay, but not as good as expected."
42,102,1003,5,2024-12-16,"Terrible, do not buy this product."
43,101,1002,4,2024-12-04,"Okay, but not as good as expected."
44,105,1004,1,2024-05-04,"Not worth the price, poor quality."
45,101,1003,5,2024-02-24,I love it! Highly recommend.
46,103,1002,1,2024-06-07,"Good product, but could be improved."
47,102,1003,2,2024-01-30,"Not worth the price, poor quality."
48,103,1005,2,2024-02-15,I love it! Highly recommend.
49,101,1001,1,2024-07-03,"Okay, but not as good as expected."
50,104,1005,1,2024-03-16,"Terrible, do not buy this product."
51,101,1003,5,2024-10-13,"Excellent quality, exceeded my expectations!"
52,101,1005,1,2024-04-03,"Terrible, do not buy this product."
53,101,1004,3,2024-10-13,"Not worth the price, poor quality."
54,104,1003,5,2024-06-28,"Good product, but could be improved."
