review_id,product_id,customer_id,rating,review_date,review_text
1,105,1001,4,2024-01-20,"Okay, but not as good as expected."
2,102,1003,4,2024-02-17,"Not worth the price, poor quality."
3,104,1004,2,2024-06-30,I love it! Highly recommend.
4,103,1004,2,2024-07-11,I love it! Highly recommend.
5,102,1002,3,2024-09-20,"Excellent quality, exceeded my expectations!"
6,104,1002,3,2024-07-30,"Excellent quality, exceeded my expectations!"
7,105,1002,3,2024-12-09,"Terrible, do not buy this product."
8,103,1003,4,2024-04-27,"Good product, but could be improved."
9,104,1001,5,2024-02-04,"Not worth the price, poor quality."
10,105,1004,2,2024-11-25,"Not worth the price, poor quality."
11,101,1004,3,2024-05-08,"Terrible, do not buy this product."
12,102,1004,2,2024-09-07,I love it! Highly recommend.
13,103,1003,4,2024-10-17,"Good product, but could be improved."
14,102,1003,1,2024-05-06,"Good product, but could be improved."
15,102,1001,3,2024-02-17,"Terrible, do not buy this product."
16,103,1003,1,2024-05-03,"Not worth the price, poor quality."
17,105,1004,4,2023-12-29,"Okay, but not as good as expected."
18,102,1004,1,2024-08-02,"Not worth the price, poor quality."
19,102,1003,1,2024-05-29,"Okay, but not as good as expected."
20,105,1002,2,2024-03-27,"Okay, but not as good as expected."
21,104,1001,5,2024-05-29,"Excellent quality, exceeded my expectations!"
22,104,1003,2,2024-08-13,"Not worth the price, poor quality."
23,101,1002,1,2024-04-07,"Not worth the price, poor quality."
24,103,1003,2,2024-07-22,"Not worth the price, poor quality."
25,104,1003,2,2024-01-09,"Good product, but could be improved."
26,102,1003,1,2024-01-05,"Not worth the price, poor quality."
27,102,1002,5,2024-04-07,"Okay, but not as good as expected."
28,101,1005,2,2024-05-05,"Okay, but not as good as expected."
29,105,1005,2,2024-08-30,"Okay, but not as good as expected."
30,104,1002,5,2024-02-24,"Terrible, do not buy this product."
31,101,1004,3,2024-05-25,"Excellent quality, exceeded my expectations!"
32,101,1004,5,2024-02-06,"Okay, but not as good as expected."
33,104,1005,5,2024-10-18,"Excellent quality, exceeded my expectations!"
34,103,1001,1,2024-11-25,"Good product, but could be improved."
35,101,1001,3,2024-12-15,"Excellent quality, exceeded my expectations!"
36,105,1005,1,2024-10-15,"Good product, but could be improved."
37,104,1002,1,2024-03-01,"Terrible, do not buy this product."
38,104,1005,2,2024-10-26,I love it! Highly recommend.
39,105,1003,4,2024-01-07,"Terrible, do not buy this product."
40,102,1005,2,2024-12-02,"Not worth the price, poor quality."
41,103,1003,3,2024-08-05,"Okay, but not as good as expected."
42,105,1002,1,2024-08-23,"Good product, but could be improved."
43,105,1005,2,2024-05-20,"Okay, but not as good as expected."
44,103,1004,2,2024-01-09,"Okay, but not as good as expected."
45,104,1004,3,2024-06-18,"Good product, but could be improved."
46,105,1003,4,2024-09-10,I love it! Highly recommend.
47,103,1002,2,2024-11-26,I love it! Highly recommend.
48,102,1003,4,2024-02-21,"Terrible, do not buy this product."
49,104,1003,5,2024-06-12,"Okay, but not as good as expected."
50,105,1004,5,2024-08-20,"Terrible, do not buy this product."
51,102,1001,5,2024-12-20,"Not worth the price, poor quality."
52,105,1003,3,2024-12-04,"Okay, but not as good as expected."
53,103,1005,4,2024-10-10,"Excellent quality, exceeded my expectations!"
54,102,1002,4,2024-08-28,I love it! Highly recommend.
55,101,1002,3,2024-08-20,"Excellent quality, exceeded my expectations!"
56,105,1002,4,2023-12-27,"Terrible, do not buy this product."
57,105,1003,5,2024-11-12,"Not worth the price, poor quality."
58,102,1004,1,2024-04-04,"Good product, but could be improved."
59,104,1003,4,2024-08-04,"Excellent quality, exceeded my expectations!"
60,104,1003,3,2024-08-29,"Terrible, do not buy this product."
61,103,1002,2,2024-07-29,"Excellent quality, exceeded my expectations!"
62,101,1005,2,2024-09-30,"Excellent quality, exceeded my expectations!"
63,104,1002,2,2024-01-04,"Terrible, do not buy this product."
64,102,1004,4,2024-10-28,"Good product, but could be improved."
65,102,1001,4,2024-08-02,"Terrible, do not buy this product."
66,102,1002,4,2024-04-05,"Not worth the price, poor quality."
67,103,1003,4,2024-10-23,"Good product, but could be improved."
68,105,1002,2,2024-05-04,I love it! Highly recommend.
69,105,1005,4,2024-09-02,"Terrible, do not buy this product."
70,104,1001,2,2024-03-08,"Okay, but not as good as expected."
71,105,1001,3,2024-09-16,"Excellent quality, exceeded my expectations!"
72,101,1003,4,2024-06-14,"Good product, but could be improved."
73,104,1001,4,2024-10-08,"Terrible, do not buy this product."
74,103,1004,1,2024-06-01,I love it! Highly recommend.
75,102,1005,4,2024-06-21,"Okay, but not as good as expected."
76,103,1003,1,2024-07-09,"Excellent quality, exceeded my expectations!"
77,102,1003,2,2024-09-06,"Okay, but not as good as expected."
78,101,1001,4,2024-05-27,"Okay, but not as good as expected."
79,105,1002,3,2024-10-17,"Okay, but not as good as expected."
80,102,1001,3,2024-06-07,"Excellent quality, exceeded my expectations!"
81,102,1003,1,2024-04-27,"Good product, but could be improved."
82,103,1005,2,2024-05-14,"Okay, but not as good as expected."
83,105,1004,3,2024-06-11,"Not worth the price, poor quality."
84,104,1001,1,2024-04-04,"Excellent quality, exceeded my expectations!"
85,105,1004,1,2024-11-13,"Excellent quality, exceeded my expectations!"
86,104,1005,4,2024-09-16,I love it! Highly recommend.
87,102,1003,4,2024-12-04,"Excellent quality, exceeded my expectations!"
88,104,1004,5,2024-03-27,"Excellent quality, exceeded my expectations!"
89,104,1002,1,2024-02-15,"Not worth the price, poor quality."
90,104,1005,2,2024-04-27,I love it! Highly recommend.
91,102,1005,2,2024-07-31,I love it! Highly recommend.
92,104,1001,3,2024-01-13,"Okay, but not as good as expected."
93,101,1002,2,2024-11-09,"Excellent quality, exceeded my expectations!"
94,104,1003,1,2024-03-19,I love it! Highly recommend.
95,104,1004,5,2024-02-01,"Excellent quality, exceeded my expectations!"
96,101,1002,4,2024-04-23,"Terrible, do not buy this product."
97,102,1003,2,2024-08-17,"Excellent quality, exceeded my expectations!"
98,103,1001,5,2024-02-06,"Terrible, do not buy this product."
99,105,1003,4,2024-03-22,"Excellent quality, exceeded my expectations!"
100,101,1002,2,2024-02-24,"Good product, but could be improved."
101,103,1001,1,2024-08-20,I love it! Highly recommend.
102,102,1005,1,2024-04-07,"Okay, but not as good as expected."
103,105,1004,5,2024-12-01,"Excellent quality, exceeded my expectations!"
104,105,1001,5,2024-02-21,"Not worth the price, poor quality."
105,103,1004,3,2024-02-14,"Okay, but not as good as expected."
106,105,1002,5,2024-12-07,"Okay, but not as good as expected."
107,105,1003,5,2024-06-19,"Not worth the price, poor quality."
108,103,1003,4,2024-02-05,"Good product, but could be improved."
109,103,1004,5,2024-11-27,"Excellent quality, exceeded my expectations!"
110,102,1003,2,2024-08-04,"Excellent quality, exceeded my expectations!"
111,104,1004,1,2024-01-10,"Terrible, do not buy this product."
112,101,1005,3,2024-12-25,"Terrible, do not buy this product."
113,103,1003,3,2024-01-30,"Terrible, do not buy this product."
114,101,1004,2,2024-10-31,"Okay, but not as good as expected."
115,101,1004,3,2024-11-22,"Good product, but could be improved."
116,103,1002,1,2024-06-22,"Excellent quality, exceeded my expectations!"
117,101,1005,2,2024-02-04,"Not worth the price, poor quality."
118,103,1003,3,2024-02-04,"Not worth the price, poor quality."
119,102,1003,1,2024-02-21,"Good product, but could be improved."
120,101,1001,1,2024-09-28,"Okay, but not as good as expected."
121,101,1004,5,2024-06-04,"Not worth the price, poor quality."
122,104,1001,1,2024-12-04,"Good product, but could be improved."
123,104,1004,5,2024-06-04,"Not worth the price, poor quality."
124,105,1002,5,2024-09-02,"Not worth the price, poor quality."
125,101,1002,4,2024-02-27,"Excellent quality, exceeded my expectations!"
126,101,1002,5,2024-12-24,"Excellent quality, exceeded my expectations!"
127,101,1002,2,2024-10-14,I love it! Highly recommend.
128,104,1003,1,2024-10-19,I love it! Highly recommend.
129,103,1003,5,2024-08-21,"Okay, but not as good as expected."
130,105,1005,4,2024-11-06,"Terrible, do not buy this product."
131,102,1001,5,2024-05-27,"Not worth the price, poor quality."
132,103,1005,5,2024-01-01,"Not worth the price, poor quality."
133,102,1004,2,2024-12-21,"Not worth the price, poor quality."
134,104,1002,1,2024-10-26,"Not worth the price, poor quality."
135,101,1003,2,2024-05-09,"Not worth the price, poor quality."
136,105,1001,1,2024-10-17,"Excellent quality, exceeded my expectations!"
137,101,1001,1,2024-08-03,"Good product, but could be improved."
138,101,1005,3,2024-12-10,"Excellent quality, exceeded my expectations!"
139,105,1001,4,2024-02-23,"Not worth the price, poor quality."
140,101,1003,5,2024-08-28,"Excellent quality, exceeded my expectations!"
141,102,1001,5,2024-01-02,"Excellent quality, exceeded my expectations!"
142,104,1003,5,2024-05-25,"Excellent quality, exceeded my expectations!"
143,101,1005,1,2024-10-14,I love it! Highly recommend.
144,103,1005,2,2024-11-13,"Not worth the price, poor quality."
145,103,1003,4,2024-09-05,"Not worth the price, poor quality."
146,104,1003,4,2024-05-19,"Excellent quality, exceeded my expectations!"
147,101,1005,2,2024-03-27,"Excellent quality, exceeded my expectations!"
148,105,1001,4,2024-07-29,"Excellent quality, exceeded my expectations!"
149,105,1001,3,2024-04-23,"Excellent quality, exceeded my expectations!"
150,102,1005,4,2024-01-21,I love it! Highly recommend.
151,105,1004,5,2024-09-08,I love it! Highly recommend.
152,101,1003,1,2024-03-21,"Good product, but could be improved."
153,104,1004,5,2024-06-16,"Good product, but could be improved."
154,101,1005,2,2024-10-26,"Terrible, do not buy this product."
155,105,1003,5,2024-07-10,"Excellent quality, exceeded my expectations!"
156,105,1002,2,2024-02-07,"Not worth the price, poor quality."
157,105,1003,4,2024-11-18,"Not worth the price, poor quality."
158,104,1004,1,2024-02-09,"Good product, but could be improved."
159,101,1004,2,2024-04-14,"Good product, but could be improved."
160,105,1004,4,2024-01-04,"Terrible, do not buy this product."
161,105,1001,1,2024-09-14,"Good product, but could be improved."
162,103,1001,2,2024-10-20,"Not worth the price, poor quality."
163,102,1001,4,2024-09-01,"Excellent quality, exceeded my expectations!"
164,103,1004,4,2024-07-31,"Excellent quality, exceeded my expectations!"
165,101,1005,2,2024-05-29,"Not worth the price, poor quality."
166,105,1001,4,2024-06-21,"Terrible, do not buy this product."
167,104,1004,3,2024-04-14,"Not worth the price, poor quality."
168,105,1005,4,2024-03-20,"Terrible, do not buy this product."
169,101,1004,3,2024-07-22,"Terrible, do not buy this product."
170,104,1002,1,2024-05-25,"Excellent quality, exceeded my expectations!"
171,104,1003,3,2024-03-26,"Excellent quality, exceeded my expectations!"
172,102,1005,4,2024-07-18,"Not worth the price, poor quality."
173,105,1005,3,2024-01-29,"Okay, but not as good as expected."
174,104,1001,2,2024-06-18,I love it! Highly recommend.
175,103,1001,3,2024-04-07,I love it! Highly recommend.
176,104,1003,2,2024-04-28,"Excellent quality, exceeded my expectations!"
177,102,1003,1,2024-04-08,"Good product, but could be improved."
178,103,1002,3,2024-09-02,"Terrible, do not buy this product."
179,103,1002,4,2024-10-14,I love it! Highly recommend.
